file	self_time_per_call	self_time	num_calls	line	total_time_per_call	total_time	method
"<frozen importlib._bootstrap>"	1.625e-06	6.5e-06	4	35	1.625e-06	6.5e-06	"_new_module"
"<frozen importlib._bootstrap_external>"	5.833333333333333e-07	7e-06	12	36	5.833333333333333e-07	7e-06	"_relax_case"
"<frozen importlib._bootstrap>"	1.8e-06	7.2e-06	4	58	6.675e-06	2.67e-05	"__init__"
"<frozen importlib._bootstrap>"	1.65e-06	9.9e-06	6	78	1.8e-06	1.08e-05	"acquire"
"<frozen importlib._bootstrap>"	1.4499999999999999e-06	8.7e-06	6	103	1.6333333333333333e-06	9.8e-06	"release"
"<frozen importlib._bootstrap>"	4.2499999999999995e-07	1.6999999999999998e-06	4	143	4.2499999999999995e-07	1.6999999999999998e-06	"__init__"
"<frozen importlib._bootstrap>"	1.15e-06	4.6e-06	4	147	1.455e-05	5.82e-05	"__enter__"
"<frozen importlib._bootstrap>"	7.75e-07	3.1e-06	4	151	2.85e-06	1.14e-05	"__exit__"
"<frozen importlib._bootstrap>"	1.2749999999999999e-06	5.0999999999999995e-06	4	176	1.8499999999999999e-06	7.3999999999999995e-06	"cb"
"<frozen importlib._bootstrap>"	3.333333333333333e-06	1.9999999999999998e-05	6	157	8.083333333333333e-06	4.85e-05	"_get_module_lock"
"<frozen importlib._bootstrap>"	1.15e-06	2.3e-06	2	194	4.749999999999999e-06	9.499999999999999e-06	"_lock_unlock_module"
"<frozen importlib._bootstrap>"	8.599999999999999e-07	4.2999999999999995e-06	5	211	0.00041945999999999997	0.0020973	"_call_with_frames_removed"
"<frozen importlib._bootstrap>"	3.688524590163934e-07	2.2499999999999998e-05	61	222	3.688524590163934e-07	2.2499999999999998e-05	"_verbose_message"
"<frozen importlib._bootstrap>"	7.5e-07	3e-06	4	307	7.5e-07	3e-06	"__init__"
"<frozen importlib._bootstrap>"	8.499999999999999e-07	3.3999999999999996e-06	4	311	8.499999999999999e-07	3.3999999999999996e-06	"__enter__"
"<frozen importlib._bootstrap>"	1.375e-07	2.2e-06	16	321	1.375e-07	2.2e-06	"genexpr"
"<frozen importlib._bootstrap>"	1.95e-06	7.8e-06	4	318	3.5249999999999997e-06	1.4099999999999999e-05	"__exit__"
"<frozen importlib._bootstrap_external>"	6.333333333333333e-07	7.6e-06	12	51	8.75e-07	1.05e-05	"_r_long"
"<frozen importlib._bootstrap>"	1.8e-06	7.2e-06	4	369	1.8e-06	7.2e-06	"__init__"
"<frozen importlib._bootstrap>"	1e-06	8e-06	8	403	9.637499999999999e-06	7.709999999999999e-05	"cached"
"<frozen importlib._bootstrap>"	7.249999999999999e-07	2.8999999999999998e-06	4	416	8.249999999999999e-07	3.2999999999999997e-06	"parent"
"<frozen importlib._bootstrap>"	3.2499999999999996e-07	1.2999999999999998e-06	4	424	3.2499999999999996e-07	1.2999999999999998e-06	"has_location"
"<frozen importlib._bootstrap_external>"	9.327868852459017e-07	5.69e-05	61	58	1.2524590163934426e-06	7.64e-05	"listcomp"
"<frozen importlib._bootstrap>"	7.075e-06	2.83e-05	4	504	3.2e-05	0.000128	"_init_module_attrs"
"<frozen importlib._bootstrap>"	2.9499999999999997e-06	1.1799999999999999e-05	4	576	3.7075e-05	0.0001483	"module_from_spec"
"<frozen importlib._bootstrap>"	5.425e-06	2.17e-05	4	663	0.000778125	0.0031125	"_load_unlocked"
"<frozen importlib._bootstrap>"	8.75e-07	3.5e-06	4	719	2.425e-06	9.7e-06	"find_spec"
"<frozen importlib._bootstrap_external>"	9.147540983606557e-07	5.5799999999999994e-05	61	56	2.452459016393443e-06	0.0001496	"_path_join"
"<frozen importlib._bootstrap>"	5.5e-07	2.2e-06	4	792	1.125e-06	4.5e-06	"find_spec"
"<frozen importlib._bootstrap_external>"	3.1625e-06	2.53e-05	8	62	3.9874999999999995e-06	3.1899999999999996e-05	"_path_split"
"<frozen importlib._bootstrap>"	2.3333333333333333e-07	2.8e-06	12	855	3.25e-07	3.9e-06	"__enter__"
"<frozen importlib._bootstrap>"	4.7499999999999995e-07	5.7e-06	12	859	7e-07	8.4e-06	"__exit__"
"<frozen importlib._bootstrap_external>"	8.08695652173913e-07	1.8599999999999998e-05	23	74	5.4947826086956525e-05	0.0012638	"_path_stat"
