self_time	method	self_time_per_call	total_time_per_call	file	line	num_calls	total_time
1.21e-05	"_new_module"	3.025e-06	3.025e-06	"<frozen importlib._bootstrap>"	35	4	1.21e-05
9.1e-06	"_relax_case"	7.583333333333333e-07	7.583333333333333e-07	"<frozen importlib._bootstrap_external>"	36	12	9.1e-06
1.49e-05	"__init__"	3.725e-06	1.1324999999999999e-05	"<frozen importlib._bootstrap>"	58	4	4.5299999999999997e-05
2.81e-05	"acquire"	4.683333333333333e-06	5.1833333333333326e-06	"<frozen importlib._bootstrap>"	78	6	3.11e-05
2.26e-05	"release"	3.766666666666667e-06	4.25e-06	"<frozen importlib._bootstrap>"	103	6	2.55e-05
5.0999999999999995e-06	"__init__"	1.2749999999999999e-06	1.2749999999999999e-06	"<frozen importlib._bootstrap>"	143	4	5.0999999999999995e-06
1.07e-05	"__enter__"	2.675e-06	3.2174999999999996e-05	"<frozen importlib._bootstrap>"	147	4	0.00012869999999999998
7e-06	"__exit__"	1.75e-06	7.025e-06	"<frozen importlib._bootstrap>"	151	4	2.81e-05
1.38e-05	"cb"	3.45e-06	4.725e-06	"<frozen importlib._bootstrap>"	176	4	1.89e-05
5.3599999999999995e-05	"_get_module_lock"	8.933333333333333e-06	1.7216666666666664e-05	"<frozen importlib._bootstrap>"	157	6	0.00010329999999999999
6.1e-06	"_lock_unlock_module"	3.05e-06	1.345e-05	"<frozen importlib._bootstrap>"	194	2	2.69e-05
9.7e-06	"_call_with_frames_removed"	1.94e-06	0.00100618	"<frozen importlib._bootstrap>"	211	5	0.0050309
3.74e-05	"_verbose_message"	6.131147540983607e-07	6.131147540983607e-07	"<frozen importlib._bootstrap>"	222	61	3.74e-05
4.8e-06	"__init__"	1.2e-06	1.2e-06	"<frozen importlib._bootstrap>"	307	4	4.8e-06
6.799999999999999e-06	"__enter__"	1.6999999999999998e-06	1.6999999999999998e-06	"<frozen importlib._bootstrap>"	311	4	6.799999999999999e-06
7.8e-06	"genexpr"	4.875e-07	4.875e-07	"<frozen importlib._bootstrap>"	321	16	7.8e-06
2.09e-05	"__exit__"	5.225e-06	1.0175e-05	"<frozen importlib._bootstrap>"	318	4	4.07e-05
1.85e-05	"_r_long"	1.5416666666666666e-06	2.35e-06	"<frozen importlib._bootstrap_external>"	51	12	2.8199999999999998e-05
9.4e-06	"__init__"	2.35e-06	2.35e-06	"<frozen importlib._bootstrap>"	369	4	9.4e-06
