line	num_calls	total_time_per_call	total_time	file	method	self_time	self_time_per_call
10	1	0.0001906	0.0001906	"C:/Python37/lib/site-packages/mo_files/url.py"	"module"	6.33e-05	6.33e-05
35	4	1.2e-06	4.8e-06	"<frozen importlib._bootstrap>"	"_new_module"	4.8e-06	1.2e-06
36	12	4.5e-07	5.4e-06	"<frozen importlib._bootstrap_external>"	"_relax_case"	5.4e-06	4.5e-07
58	4	8.3e-06	3.32e-05	"<frozen importlib._bootstrap>"	"__init__"	1.15e-05	2.875e-06
78	6	3.25e-06	1.95e-05	"<frozen importlib._bootstrap>"	"acquire"	1.78e-05	2.9666666666666665e-06
103	6	2.1166666666666666e-06	1.2699999999999999e-05	"<frozen importlib._bootstrap>"	"release"	1.14e-05	1.8999999999999998e-06
143	4	1.0749999999999999e-06	4.2999999999999995e-06	"<frozen importlib._bootstrap>"	"__init__"	4.2999999999999995e-06	1.0749999999999999e-06
147	4	2.465e-05	9.86e-05	"<frozen importlib._bootstrap>"	"__enter__"	1.03e-05	2.575e-06
151	4	3.925e-06	1.57e-05	"<frozen importlib._bootstrap>"	"__exit__"	4.6e-06	1.15e-06
176	4	2.225e-06	8.9e-06	"<frozen importlib._bootstrap>"	"cb"	6.699999999999999e-06	1.6749999999999998e-06
157	6	1.2716666666666666e-05	7.63e-05	"<frozen importlib._bootstrap>"	"_get_module_lock"	4.01e-05	6.6833333333333334e-06
194	2	7.049999999999999e-06	1.4099999999999999e-05	"<frozen importlib._bootstrap>"	"_lock_unlock_module"	4.9999999999999996e-06	2.4999999999999998e-06
211	5	0.0005461	0.0027305	"<frozen importlib._bootstrap>"	"_call_with_frames_removed"	6.1e-06	1.22e-06
222	61	3.3934426229508195e-07	2.07e-05	"<frozen importlib._bootstrap>"	"_verbose_message"	2.07e-05	3.3934426229508195e-07
307	4	5e-07	2e-06	"<frozen importlib._bootstrap>"	"__init__"	2e-06	5e-07
311	4	5.5e-07	2.2e-06	"<frozen importlib._bootstrap>"	"__enter__"	2.2e-06	5.5e-07
321	16	1.5e-07	2.4e-06	"<frozen importlib._bootstrap>"	"genexpr"	2.4e-06	1.5e-07
318	4	4.1e-06	1.64e-05	"<frozen importlib._bootstrap>"	"__exit__"	9e-06	2.25e-06
51	12	1.3583333333333334e-06	1.63e-05	"<frozen importlib._bootstrap_external>"	"_r_long"	1.1799999999999999e-05	9.833333333333332e-07
369	4	1.175e-06	4.7e-06	"<frozen importlib._bootstrap>"	"__init__"	4.7e-06	1.175e-06
403	8	7.2624999999999995e-06	5.8099999999999996e-05	"<frozen importlib._bootstrap>"	"cached"	5.0999999999999995e-06	6.374999999999999e-07
416	4	6.75e-07	2.7e-06	"<frozen importlib._bootstrap>"	"parent"	2.2e-06	5.5e-07
424	4	2e-07	8e-07	"<frozen importlib._bootstrap>"	"has_location"	8e-07	2e-07
58	61	8.786885245901639e-07	5.3599999999999995e-05	"<frozen importlib._bootstrap_external>"	"listcomp"	3.9099999999999995e-05	6.409836065573769e-07
504	4	2.3199999999999998e-05	9.279999999999999e-05	"<frozen importlib._bootstrap>"	"_init_module_attrs"	1.95e-05	4.875e-06
576	4	2.6949999999999998e-05	0.00010779999999999999	"<frozen importlib._bootstrap>"	"module_from_spec"	8.599999999999999e-06	2.1499999999999997e-06
663	4	0.0008862	0.0035448	"<frozen importlib._bootstrap>"	"_load_unlocked"	2.21e-05	5.525e-06
719	4	3.625e-06	1.45e-05	"<frozen importlib._bootstrap>"	"find_spec"	4.9e-06	1.225e-06
56	61	1.7967213114754097e-06	0.0001096	"<frozen importlib._bootstrap_external>"	"_path_join"	4.27e-05	7e-07
792	4	2.25e-06	9e-06	"<frozen importlib._bootstrap>"	"find_spec"	5.4e-06	1.35e-06
62	8	2.9125e-06	2.33e-05	"<frozen importlib._bootstrap_external>"	"_path_split"	1.7899999999999998e-05	2.2374999999999998e-06
855	12	5.833333333333333e-07	7e-06	"<frozen importlib._bootstrap>"	"__enter__"	5.199999999999999e-06	4.333333333333333e-07
859	12	6.583333333333332e-07	7.899999999999999e-06	"<frozen importlib._bootstrap>"	"__exit__"	5.7999999999999995e-06	4.833333333333333e-07
74	23	4.118695652173913e-05	0.0009473	"<frozen importlib._bootstrap_external>"	"_path_stat"	1.73e-05	7.521739130434783e-07
882	4	0.000358625	0.0014345	"<frozen importlib._bootstrap>"	"_find_spec"	4.54e-05	1.135e-05
948	4	0.0010883	0.0043532	"<frozen importlib._bootstrap>"	"_find_and_load_unlocked"	2.06e-05	5.15e-06
978	4	0.001106875	0.0044275	"<frozen importlib._bootstrap>"	"_find_and_load"	3.48e-05	8.7e-06
