self_time	total_time	line	self_time_per_call	method	num_calls	total_time_per_call	file
6.2e-06	6.2e-06	35	1.55e-06	"_new_module"	4	1.55e-06	"<frozen importlib._bootstrap>"
4.1e-06	4.1e-06	36	3.4166666666666664e-07	"_relax_case"	12	3.4166666666666664e-07	"<frozen importlib._bootstrap_external>"
7e-06	1.84e-05	58	1.75e-06	"__init__"	4	4.6e-06	"<frozen importlib._bootstrap>"
1.21e-05	1.28e-05	78	2.0166666666666667e-06	"acquire"	6	2.1333333333333334e-06	"<frozen importlib._bootstrap>"
1.1799999999999999e-05	1.3199999999999999e-05	103	1.9666666666666663e-06	"release"	6	2.1999999999999997e-06	"<frozen importlib._bootstrap>"
2.3e-06	2.3e-06	143	5.75e-07	"__init__"	4	5.75e-07	"<frozen importlib._bootstrap>"
4.8e-06	5.2199999999999995e-05	147	1.2e-06	"__enter__"	4	1.3049999999999999e-05	"<frozen importlib._bootstrap>"
4.7e-06	1.6499999999999998e-05	151	1.175e-06	"__exit__"	4	4.1249999999999995e-06	"<frozen importlib._bootstrap>"
5.6e-06	8.9e-06	176	1.4e-06	"cb"	4	2.225e-06	"<frozen importlib._bootstrap>"
2.2199999999999998e-05	4.23e-05	157	3.6999999999999997e-06	"_get_module_lock"	6	7.049999999999999e-06	"<frozen importlib._bootstrap>"
3e-06	1.21e-05	194	1.5e-06	"_lock_unlock_module"	2	6.05e-06	"<frozen importlib._bootstrap>"
6e-06	0.0025905	211	1.2e-06	"_call_with_frames_removed"	5	0.0005181	"<frozen importlib._bootstrap>"
1.4e-05	1.4e-05	222	2.2950819672131146e-07	"_verbose_message"	61	2.2950819672131146e-07	"<frozen importlib._bootstrap>"
1.9e-06	1.9e-06	307	4.75e-07	"__init__"	4	4.75e-07	"<frozen importlib._bootstrap>"
2.4999999999999998e-06	2.4999999999999998e-06	311	6.249999999999999e-07	"__enter__"	4	6.249999999999999e-07	"<frozen importlib._bootstrap>"
